74310 78066 1.05054 [3, 22, 25, 21, 7, 34, 38, 2, 36, 0, 9, 11, 15, 30, 24, 23, 14, 1, 8, 17, 10, 32, 31, 19, 18, 20, 13, 26, 28, 39, 16, 12, 29, 37, 6, 35, 5, 33, 4, 27, ]
74310 120017 1.61509 [7, 19, 13, 34, 3, 0, 6, 10, 12, 2, 14, 30, 24, 1, 22, 11, 38, 18, 15, 29, 23, 37, 33, 5, 39, 4, 17, 16, 26, 9, 25, 32, 28, 36, 35, 20, 31, 8, 27, 21, ]
77122 79864 1.03555 [13, 1, 17, 7, 12, 33, 18, 25, 38, 19, 36, 29, 32, 2, 35, 26, 8, 4, 20, 11, 21, 9, 28, 3, 37, 24, 27, 16, 5, 34, 23, 31, 14, 39, 6, 15, 30, 10, 0, 22, ]
77122 130729 1.69509 [16, 20, 18, 39, 17, 32, 4, 36, 24, 34, 19, 12, 27, 25, 33, 23, 2, 11, 13, 10, 38, 8, 14, 9, 29, 37, 26, 35, 0, 7, 6, 30, 1, 3, 21, 28, 31, 15, 5, 22, ]
63229 68369 1.08129 [27, 9, 7, 16, 34, 6, 15, 13, 1, 33, 25, 4, 35, 28, 11, 20, 5, 14, 36, 2, 31, 18, 21, 30, 10, 32, 19, 37, 8, 3, 17, 26, 38, 29, 22, 39, 0, 24, 12, 23, ]
63229 114051 1.80378 [20, 28, 21, 16, 25, 6, 22, 2, 17, 26, 13, 18, 11, 36, 1, 7, 15, 34, 31, 39, 29, 37, 30, 10, 19, 24, 9, 38, 14, 33, 8, 12, 35, 27, 4, 3, 32, 23, 0, 5, ]
77774 80035 1.02907 [4, 39, 10, 37, 20, 9, 16, 27, 18, 14, 12, 3, 21, 24, 1, 8, 11, 35, 17, 19, 13, 33, 31, 7, 15, 38, 5, 25, 23, 0, 29, 2, 34, 28, 30, 36, 22, 32, 26, 6, ]
77774 112097 1.44132 [14, 4, 1, 10, 16, 24, 38, 7, 35, 20, 9, 29, 12, 33, 15, 27, 13, 3, 28, 21, 5, 36, 11, 17, 23, 19, 0, 39, 8, 6, 31, 30, 2, 25, 32, 34, 18, 22, 37, 26, ]
100484 101250 1.00762 [0, 29, 35, 8, 31, 6, 34, 26, 20, 33, 1, 2, 25, 36, 27, 32, 21, 4, 16, 30, 17, 7, 5, 38, 28, 24, 37, 14, 12, 15, 10, 3, 9, 19, 39, 18, 22, 13, 23, 11, ]
100484 154318 1.53575 [24, 35, 29, 37, 2, 32, 1, 17, 19, 28, 7, 30, 8, 15, 10, 0, 20, 4, 26, 6, 13, 33, 36, 22, 16, 5, 31, 14, 9, 34, 11, 3, 27, 18, 25, 23, 39, 38, 21, 12, ]
135618 139777 1.03067 [22, 13, 16, 38, 5, 28, 14, 29, 21, 32, 37, 27, 10, 15, 9, 26, 24, 35, 6, 8, 11, 30, 31, 4, 36, 19, 1, 17, 20, 7, 25, 34, 18, 39, 2, 3, 12, 0, 33, 23, ]
135618 204708 1.50945 [38, 14, 28, 29, 39, 8, 27, 4, 30, 3, 26, 22, 37, 24, 21, 5, 25, 18, 20, 35, 0, 9, 31, 10, 7, 17, 32, 12, 13, 33, 16, 23, 15, 1, 36, 11, 34, 19, 2, 6, ]
119947 120368 1.00351 [15, 27, 2, 11, 21, 22, 5, 10, 38, 26, 34, 18, 7, 8, 14, 4, 28, 25, 30, 33, 39, 6, 16, 20, 1, 29, 9, 13, 37, 35, 31, 0, 17, 23, 24, 19, 36, 12, 3, 32, ]
119947 184223 1.53587 [34, 5, 16, 21, 14, 0, 39, 7, 20, 29, 33, 27, 6, 10, 30, 38, 13, 18, 15, 36, 9, 11, 31, 3, 28, 26, 2, 24, 19, 8, 22, 12, 35, 17, 32, 1, 4, 25, 23, 37, ]
